Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
28-May-2018 14:58:08.09801	5.745024
28-May-2018 14:28:13.06601	5.744432
28-May-2018 13:58:13.07201	5.745569
28-May-2018 13:28:13.09401	5.742113
28-May-2018 13:10:08.09601	5.397333
28-May-2018 12:40:13.026	5.400776
28-May-2018 12:10:18.009	5.38094
28-May-2018 11:40:23.007	5.337638
28-May-2018 11:10:23.02901	5.333139
28-May-2018 10:40:23.05101	5.329544
28-May-2018 10:10:28.03401	5.323427
28-May-2018 09:40:28.09401	5.321125
28-May-2018 09:10:33.05501	5.318185
28-May-2018 08:40:38.05301	5.323908
28-May-2018 08:10:43.04901	5.332379
28-May-2018 07:40:48.026	5.339628
28-May-2018 07:10:48.08501	5.346249
28-May-2018 06:40:53.04601	5.345808
28-May-2018 06:10:53.09001	5.3448
28-May-2018 05:40:58.067	5.343646
28-May-2018 05:11:03.01801	5.349432
28-May-2018 04:41:08.01701	5.350812
28-May-2018 04:11:08.07001	5.346342
28-May-2018 03:41:13.05301	5.351497
28-May-2018 03:11:18.067	5.360618
28-May-2018 02:41:18.07301	5.373078
28-May-2018 02:11:18.095	5.373014
28-May-2018 01:41:23.063	5.373287
28-May-2018 01:11:28.02301	5.377977
28-May-2018 00:41:28.08301	5.378882
28-May-2018 00:11:28.09001	5.381752
27-May-2018 23:41:33.08801	5.384112
27-May-2018 23:11:38.033	5.385231
27-May-2018 22:41:38.05501	5.385985
27-May-2018 22:11:43.054	5.391412
27-May-2018 21:41:43.06001	5.390954
27-May-2018 21:11:43.09801	5.393993
27-May-2018 20:41:48.04901	5.394323
27-May-2018 20:11:48.08701	5.390015
27-May-2018 19:41:53.07001	5.387174
27-May-2018 19:11:53.09201	5.394189
27-May-2018 18:41:58.09001	5.372951
27-May-2018 18:12:03.02	5.378099
27-May-2018 17:42:03.04201	5.378482
27-May-2018 17:12:03.06401	5.379567
27-May-2018 16:42:08.03001	5.382593
27-May-2018 16:12:13.028	5.383335
27-May-2018 15:42:13.05	5.383863
27-May-2018 15:12:13.07201	5.384037
27-May-2018 14:42:13.09401	5.403635
27-May-2018 14:12:18.093	5.427889
27-May-2018 13:42:23.04401	5.425234
27-May-2018 13:12:28.011	5.422405
27-May-2018 12:42:28.04901	5.419691
27-May-2018 12:12:28.10201	5.420467
27-May-2018 11:42:28.10901	5.425709
27-May-2018 11:12:33.02301	5.426683
27-May-2018 10:42:38.00601	5.445349
27-May-2018 10:12:38.05901	5.445337
27-May-2018 09:42:38.08701	5.442431
27-May-2018 09:12:43.07901	5.437736
27-May-2018 08:42:48.06201	5.437927
27-May-2018 08:12:53.02802	5.436894
27-May-2018 07:42:53.082	5.433584
27-May-2018 07:12:53.08801	5.434082
27-May-2018 06:42:58.05501	5.433154
27-May-2018 06:12:58.093	5.43319
27-May-2018 05:43:03.02901	5.435294
27-May-2018 05:13:03.05101	5.435097
27-May-2018 04:43:08.065	5.43661
27-May-2018 04:13:08.07101	5.439579
27-May-2018 03:43:13.01701	5.44129
27-May-2018 03:13:13.09201	5.443882
27-May-2018 02:43:18.00601	5.447854
27-May-2018 02:13:18.05	5.446624
27-May-2018 01:43:23.026	5.453814
27-May-2018 01:13:23.08601	5.461462
27-May-2018 00:43:23.108	5.453049
27-May-2018 00:13:28.05301	5.460778
26-May-2018 23:43:28.11301	5.462993
26-May-2018 23:13:33.04301	5.468542
26-May-2018 22:43:33.10201	5.472652
26-May-2018 22:13:33.10201	5.477193
26-May-2018 21:43:38.02301	5.480626
26-May-2018 21:13:38.04501	5.486627
26-May-2018 20:43:43.028	5.487578
26-May-2018 20:13:43.065	5.493341
26-May-2018 19:43:43.10901	5.49518
